first,last,team,cost,total_points,goals_scored,assists,clean_sheets,minutes,popularity,play_chance
Fábio,Ferreira Vieira,1,5.4,0,0,0,0,0,0.0,0.0
Gabriel,Fernando de Jesus,1,6.5,42,3,2,2,600,1.0,0.0
Gabriel,dos Santos Magalhães,1,6.2,117,3,2,10,2363,12.3,0.0
Kai,Havertz,1,7.7,96,9,3,7,1853,5.7,75.0
Karl,Hein,1,4.0,0,0,0,0,0,0.0,0.0
Jurriën,Timber,1,5.6,114,1,3,11,2415,5.4,75.0
Jorge Luiz,Frello Filho,1,4.6,20,0,0,2,701,0.2,100.0
Jakub,Kiwior,1,4.8,41,1,0,3,1027,2.2,
Gabriel,Martinelli Silva,1,6.5,123,8,4,10,2214,2.8,100.0
Ethan,Nwaneri,1,4.3,64,4,2,4,808,1.5,100.0
Martin,Ødegaard,1,8.2,109,2,9,11,2306,5.1,100.0
David,Raya Martin,1,5.5,140,0,0,13,3330,30.7,100.0
Declan,Rice,1,6.2,125,4,7,11,2733,3.3,75.0
Bukayo,Saka,1,10.3,126,6,11,7,1697,17.3,100.0
William,Saliba,1,6.5,130,2,0,12,3039,30.6,100.0
Thomas,Partey,1,4.9,106,4,3,9,2703,0.7,100.0
Kieran,Tierney,1,4.3,17,0,0,1,188,0.1,100.0
Tomiyasu,Takehiro,1,4.8,1,0,0,0,6,0.0,0.0
Leandro,Trossard,1,6.7,148,8,7,11,2519,3.6,75.0
Benjamin,White,1,6.1,45,0,1,5,1105,2.3,100.0
Oleksandr,Zinchenko,1,4.8,38,0,1,4,449,0.9,100.0
Norberto,Murara Neto,1,4.1,7,0,0,0,180,0.7,100.0
Raheem,Sterling,1,6.7,24,0,2,1,428,0.8,100.0
Riccardo,Calafiori,1,5.8,39,2,1,1,978,1.2,100.0
Myles,Lewis-Skelly,1,4.5,36,1,0,5,1342,0.4,100.0
Mikel,Merino,1,6.0,90,7,2,4,1485,1.5,100.0
Salah-Eddine,Oulad M'hand,1,4.5,0,0,0,0,0,0.0,
Tommy,Setford,1,4.5,0,0,0,0,0,0.1,
Maldini,Kacurri,1,4.0,0,0,0,0,0,0.1,0.0
Ismeal,Kabia,1,4.5,0,0,0,0,0,0.0,
Josh,Nichols,1,4.0,0,0,0,0,0,0.1,
Nathan,Butler-Oyedeji,1,4.5,1,0,0,0,6,0.2,
Mikel,Arteta,1,1.5,96,0,0,0,0,2.4,
Jack,Porter,1,4.0,0,0,0,0,0,0.0,
Jimi,Gower,1,4.5,0,0,0,0,0,0.0,
Jack,Henry-Francis,1,4.5,0,0,0,0,0,0.0,
Brayden,Clarke,1,4.0,0,0,0,0,0,0.0,
Leon,Bailey,2,6.2,47,1,2,2,1132,0.8,100.0
Ross,Barkley,2,5.2,43,3,1,1,561,0.2,100.0
Enzo,Barrenechea,2,4.9,0,0,0,0,0,0.0,0.0
Emiliano,Buendía Stati,2,5.1,11,0,0,0,89,0.1,0.0
Matty,Cash,2,4.4,75,1,1,7,1979,1.5,100.0
Leander,Dendoncker,2,4.5,0,0,0,0,0,0.2,0.0
Moussa,Diaby,2,6.5,0,0,0,0,0,0.0,0.0
Diego Carlos,Santos Silva,2,4.5,21,0,0,2,828,0.3,0.0
Lucas,Digne,2,4.4,89,0,5,6,2348,5.8,
Lewis,Dobbin,2,5.0,0,0,0,0,0,0.0,0.0
Jhon,Durán,2,5.7,53,7,0,2,622,1.6,0.0
Joe,Gauci,2,4.0,0,0,0,0,0,0.5,0.0
Kortney,Hause,2,3.9,0,0,0,0,0,0.5,
Samuel,Iling-Junior,2,5.4,0,0,0,0,0,0.0,0.0
Boubacar,Kamara,2,5.0,55,1,0,6,1637,0.0,100.0
Kaine,Kesler-Hayden,2,4.0,0,0,0,0,0,0.0,0.0
Ezri,Konsa Ngoyo,2,4.4,102,2,0,8,2846,8.4,100.0
Ian,Maatsen,2,4.5,56,1,2,3,1035,1.6,100.0
Filip,Marschall,2,4.0,0,0,0,0,0,0.0,0.0
Emiliano,Martínez Romero,2,5.0,113,0,0,8,3150,13.1,100.0
John,McGinn,2,5.2,75,1,4,7,2156,0.7,100.0
Tyrone,Mings,2,4.4,47,0,1,4,1119,0.2,100.0
Kosta,Nedeljković,2,3.9,5,0,0,0,121,0.5,0.0
Robin,Olsen,2,4.5,8,0,0,1,180,0.1,100.0
Pau,Torres,2,4.2,55,0,0,5,1929,0.8,100.0
Jacob,Ramsey,2,5.4,65,1,4,5,1589,0.3,100.0
Morgan,Rogers,2,5.8,160,8,11,10,3032,26.0,100.0
Viljami,Sinisalo,2,4.0,0,0,0,0,0,0.0,0.0
Lino,da Cruz Sousa,2,4.0,0,0,0,0,0,0.0,0.0
Youri,Tielemans,2,5.5,120,3,7,7,2997,1.1,25.0
Ollie,Watkins,2,9.1,184,16,8,10,2503,25.6,100.0
Axel,Disasi,2,4.2,33,1,0,3,851,0.4,100.0
Amadou,Onana,2,4.8,62,3,0,5,1551,2.1,100.0
Marcus,Rashford,2,6.6,95,6,4,7,1414,4.0,0.0
Lamare,Bogarde,2,3.9,6,0,0,0,473,0.2,
Sil,Swinkels,2,4.0,0,0,0,0,0,0.1,0.0
Oliwier,Zych,2,4.0,0,0,0,0,0,0.5,
Kadan,Young,2,4.4,0,0,0,0,0,0.2,0.0
Ben,Broggio,2,4.5,0,0,0,0,0,0.0,
Jamaldeen,Jimoh,2,4.5,0,0,0,0,0,0.0,
Donyell,Malen,2,5.3,33,3,0,0,290,0.2,
Andrés,García,2,4.5,8,0,0,0,316,0.1,
Unai,Emery,2,0.8,105,0,0,0,0,7.5,
Marco,Asensio,2,6.1,43,3,2,3,695,2.7,
Max,Aarons,3,4.3,8,0,0,1,84,0.1,0.0
Tyler,Adams,3,4.9,53,0,3,5,1779,0.1,100.0
Jaidon,Anthony,3,4.5,0,0,0,0,0,0.1,0.0
David,Brooks,3,4.9,48,2,1,2,834,0.0,100.0
Ryan,Christie,3,4.8,76,2,3,8,2114,0.1,0.0
Lewis,Cook,3,5.0,83,1,4,5,2904,0.1,100.0
Enes,Ünal,3,5.4,32,2,1,2,330,0.1,0.0
Romain,Faivre,3,5.0,0,0,0,0,0,0.0,0.0
Hamed,Traorè,3,4.5,0,0,0,0,0,0.0,0.0
James,Hill,3,3.9,17,0,1,1,443,0.5,100.0
Daniel,Jebbison,3,4.5,13,0,0,0,71,1.0,100.0
Milos,Kerkez,3,5.2,127,2,6,8,3164,17.3,100.0
Justin,Kluivert,3,5.9,154,12,6,12,2204,10.5,100.0
Chris,Mepham,3,4.4,0,0,0,0,0,0.0,0.0
Dango,Ouattara,3,4.6,111,7,4,7,1998,1.0,0.0
Alex,Paulsen,3,4.0,0,0,0,0,0,0.0,0.0
Philip,Billing,3,4.8,10,0,0,0,176,0.0,0.0
Alex,Scott,3,4.7,25,0,0,3,744,0.0,0.0
Antoine,Semenyo,3,5.7,147,9,7,10,3022,7.1,100.0
Marcos,Senesi,3,4.6,25,0,0,1,1026,0.3,100.0
Luis,Sinisterra,3,4.8,23,1,1,0,229,0.1,0.0
Adam,Smith,3,4.4,50,0,0,5,1475,0.1,100.0
Marcus,Tavernier,3,5.4,82,3,7,3,1752,0.2,100.0
Mark,Travers,3,4.4,19,0,0,1,450,0.1,0.0
Illia,Zabarnyi,3,4.4,82,0,0,7,2929,0.4,100.0
Kepa,Arrizabalaga,3,4.6,99,0,0,7,2610,3.2,100.0
Dean,Huijsen,3,4.5,100,3,1,7,2320,4.5,
Julián,Araujo Zúñiga,3,4.3,12,0,0,0,424,0.1,100.0
Will,Dennis,3,3.9,0,0,0,0,0,0.3,
Francisco Evanilson,de Lima Barbosa,3,5.8,124,10,5,10,2145,3.6,100.0
