first,last,team,cost,total_points,goals_scored,assists,clean_sheets,minutes,popularity,play_chance,full_name,goals_per_90,assists_per_90,points_per_million,is_playing_next
Fábio,Ferreira Vieira,1,5.4,0,0,0,0,0,0.0,0.0,Fábio Ferreira Vieira,0.0,0.0,0.0,False
Gabriel,Fernando de Jesus,1,6.5,42,3,2,2,600,1.0,0.0,Gabriel Fernando de Jesus,0.4499999325000101,0.29999995500000676,6.461537467455774,False
Gabriel,dos Santos Magalhães,1,6.2,117,3,2,10,2363,12.3,0.0,Gabriel dos Santos Magalhães,0.11426152759901079,0.07617435173267385,18.8709646982315,False
Kai,Havertz,1,7.7,96,9,3,7,1853,5.7,75.0,Kai Havertz,0.43712895880107594,0.14570965293369198,12.467530848372617,False
Karl,Hein,1,4.0,0,0,0,0,0,0.0,0.0,Karl Hein,0.0,0.0,0.0,False
Jurriën,Timber,1,5.6,114,1,3,11,2415,5.4,75.0,Jurriën Timber,0.03726707935650636,0.11180123806951908,20.357139221939427,False
Jorge Luiz,Frello Filho,1,4.6,20,0,0,2,701,0.2,100.0,Jorge Luiz Frello Filho,0.0,0.0,4.347825141777143,True
Jakub,Kiwior,1,4.8,41,1,0,3,1027,2.2,,Jakub Kiwior,0.08763387742254239,0.0,8.541664887153148,True
Gabriel,Martinelli Silva,1,6.5,123,8,4,10,2214,2.8,100.0,Gabriel Martinelli Silva,0.32520323881287644,0.16260161940643822,18.923074011834768,True
Ethan,Nwaneri,1,4.3,64,4,2,4,808,1.5,100.0,Ethan Nwaneri,0.4455445048279636,0.2227722524139818,14.883717468902914,True
Martin,Ødegaard,1,8.2,109,2,9,11,2306,5.1,100.0,Martin Ødegaard,0.07805723893098374,0.3512575751894268,13.292681305770575,True
David,Raya Martin,1,5.5,140,0,0,13,3330,30.7,100.0,David Raya Martin,0.0,0.0,25.454540826447122,True
Declan,Rice,1,6.2,125,4,7,11,2733,3.3,75.0,Declan Rice,0.13172337656234764,0.23051590898410837,20.16128707076015,False
Bukayo,Saka,1,10.3,126,6,11,7,1697,17.3,100.0,Bukayo Saka,0.3182085865416778,0.5833824086597427,12.233008521067134,True
William,Saliba,1,6.5,130,2,0,12,3039,30.6,100.0,William Saliba,0.059230008117571335,0.0,19.999996923077397,True
Thomas,Partey,1,4.9,106,4,3,9,2703,0.7,100.0,Thomas Partey,0.13318534517695854,0.0998890088827189,21.632648646398234,True
Kieran,Tierney,1,4.3,17,0,0,1,188,0.1,100.0,Kieran Tierney,0.0,0.0,3.9534874526773365,True
Tomiyasu,Takehiro,1,4.8,1,0,0,0,6,0.0,0.0,Tomiyasu Takehiro,0.0,0.0,0.2083332899305646,False
Leandro,Trossard,1,6.7,148,8,7,11,2519,3.6,75.0,Leandro Trossard,0.28582769919631085,0.25009923679677204,22.089548941858364,False
Benjamin,White,1,6.1,45,0,1,5,1105,2.3,100.0,Benjamin White,0.0,0.08144795716713471,7.377047970975743,True
Oleksandr,Zinchenko,1,4.8,38,0,1,4,449,0.9,100.0,Oleksandr Zinchenko,0.0,0.2004453941200769,7.916665017361455,True
Norberto,Murara Neto,1,4.1,7,0,0,0,180,0.7,100.0,Norberto Murara Neto,0.0,0.0,1.707316656752035,True
Raheem,Sterling,1,6.7,24,0,2,1,428,0.8,100.0,Raheem Sterling,0.0,0.42056065922789876,3.582089017598654,True
Riccardo,Calafiori,1,5.8,39,2,1,1,978,1.2,100.0,Riccardo Calafiori,0.1840490628175709,0.09202453140878546,6.7241367717005565,True
Myles,Lewis-Skelly,1,4.5,36,1,0,5,1342,0.4,100.0,Myles Lewis-Skelly,0.06706407895993509,0.0,7.999998222222617,True
Mikel,Merino,1,6.0,90,7,2,4,1485,1.5,100.0,Mikel Merino,0.4242423985307637,0.12121211386593249,14.999997500000417,True
Salah-Eddine,Oulad M'hand,1,4.5,0,0,0,0,0,0.0,,Salah-Eddine Oulad M'hand,0.0,0.0,0.0,True
Tommy,Setford,1,4.5,0,0,0,0,0,0.1,,Tommy Setford,0.0,0.0,0.0,True
Maldini,Kacurri,1,4.0,0,0,0,0,0,0.1,0.0,Maldini Kacurri,0.0,0.0,0.0,False
Ismeal,Kabia,1,4.5,0,0,0,0,0,0.0,,Ismeal Kabia,0.0,0.0,0.0,True
Josh,Nichols,1,4.0,0,0,0,0,0,0.1,,Josh Nichols,0.0,0.0,0.0,True
Nathan,Butler-Oyedeji,1,4.5,1,0,0,0,6,0.2,,Nathan Butler-Oyedeji,0.0,0.0,0.22222217283951715,True
Mikel,Arteta,1,1.5,96,0,0,0,0,2.4,,Mikel Arteta,0.0,0.0,63.999957333361785,True
Jack,Porter,1,4.0,0,0,0,0,0,0.0,,Jack Porter,0.0,0.0,0.0,True
Jimi,Gower,1,4.5,0,0,0,0,0,0.0,,Jimi Gower,0.0,0.0,0.0,True
Jack,Henry-Francis,1,4.5,0,0,0,0,0,0.0,,Jack Henry-Francis,0.0,0.0,0.0,True
Brayden,Clarke,1,4.0,0,0,0,0,0,0.0,,Brayden Clarke,0.0,0.0,0.0,True
Leon,Bailey,2,6.2,47,1,2,2,1132,0.8,100.0,Leon Bailey,0.07950529403226461,0.15901058806452922,7.5806439386058155,True
Ross,Barkley,2,5.2,43,3,1,1,561,0.2,100.0,Ross Barkley,0.4812833452486612,0.16042778174955372,8.269229178994388,True
Enzo,Barrenechea,2,4.9,0,0,0,0,0,0.0,0.0,Enzo Barrenechea,0.0,0.0,0.0,False
Emiliano,Buendía Stati,2,5.1,11,0,0,0,89,0.1,0.0,Emiliano Buendía Stati,0.0,0.0,2.1568623221838585,False
Matty,Cash,2,4.4,75,1,1,7,1979,1.5,100.0,Matty Cash,0.04547751182770285,0.04547751182770285,17.04545067148848,True
Leander,Dendoncker,2,4.5,0,0,0,0,0,0.2,0.0,Leander Dendoncker,0.0,0.0,0.0,False
Moussa,Diaby,2,6.5,0,0,0,0,0,0.0,0.0,Moussa Diaby,0.0,0.0,0.0,False
Diego Carlos,Santos Silva,2,4.5,21,0,0,2,828,0.3,0.0,Diego Carlos Santos Silva,0.0,0.0,4.66666562962986,False
Lucas,Digne,2,4.4,89,0,5,6,2348,5.8,,Lucas Digne,0.0,0.19165246284125995,20.227268130166333,True
Lewis,Dobbin,2,5.0,0,0,0,0,0,0.0,0.0,Lewis Dobbin,0.0,0.0,0.0,False
Jhon,Durán,2,5.7,53,7,0,2,622,1.6,0.0,Jhon Durán,1.0128615897788695,0.0,9.298243982764212,False
Joe,Gauci,2,4.0,0,0,0,0,0,0.5,0.0,Joe Gauci,0.0,0.0,0.0,False
Kortney,Hause,2,3.9,0,0,0,0,0,0.5,,Kortney Hause,0.0,0.0,0.0,True
Samuel,Iling-Junior,2,5.4,0,0,0,0,0,0.0,0.0,Samuel Iling-Junior,0.0,0.0,0.0,False
Boubacar,Kamara,2,5.0,55,1,0,6,1637,0.0,100.0,Boubacar Kamara,0.05497861640313043,0.0,10.99999780000044,True
Kaine,Kesler-Hayden,2,4.0,0,0,0,0,0,0.0,0.0,Kaine Kesler-Hayden,0.0,0.0,0.0,False
Ezri,Konsa Ngoyo,2,4.4,102,2,0,8,2846,8.4,100.0,Ezri Konsa Ngoyo,0.06324665998165867,0.0,23.181812913224334,True
Ian,Maatsen,2,4.5,56,1,2,3,1035,1.6,100.0,Ian Maatsen,0.08695651417769443,0.17391302835538885,12.444441679012959,True
Filip,Marschall,2,4.0,0,0,0,0,0,0.0,0.0,Filip Marschall,0.0,0.0,0.0,False
Emiliano,Martínez Romero,2,5.0,113,0,0,8,3150,13.1,100.0,Emiliano Martínez Romero,0.0,0.0,22.599995480000903,True
John,McGinn,2,5.2,75,1,4,7,2156,0.7,100.0,John McGinn,0.0417439685728399,0.1669758742913596,14.423074149408816,True
Tyrone,Mings,2,4.4,47,0,1,4,1119,0.2,100.0,Tyrone Mings,0.0,0.0804289479547763,10.681815754132781,True
Kosta,Nedeljković,2,3.9,5,0,0,0,121,0.5,0.0,Kosta Nedeljković,0.0,0.0,1.2820509533202684,False
Robin,Olsen,2,4.5,8,0,0,1,180,0.1,100.0,Robin Olsen,0.0,0.0,1.7777773827161372,True
Pau,Torres,2,4.2,55,0,0,5,1929,0.8,100.0,Pau Torres,0.0,0.0,13.095234977325005,True
Jacob,Ramsey,2,5.4,65,1,4,5,1589,0.3,100.0,Jacob Ramsey,0.056639392638423325,0.2265575705536933,12.037034807956516,True
Morgan,Rogers,2,5.8,160,8,11,10,3032,26.0,100.0,Morgan Rogers,0.2374670114208341,0.3265171407036469,27.586202140309975,True
Viljami,Sinisalo,2,4.0,0,0,0,0,0,0.0,0.0,Viljami Sinisalo,0.0,0.0,0.0,False
Lino,da Cruz Sousa,2,4.0,0,0,0,0,0,0.0,0.0,Lino da Cruz Sousa,0.0,0.0,0.0,False
Youri,Tielemans,2,5.5,120,3,7,7,2997,1.1,25.0,Youri Tielemans,0.09009008738468208,0.2102102038975915,21.81817785124039,False
Ollie,Watkins,2,9.1,184,16,8,10,2503,25.6,100.0,Ollie Watkins,0.5753096077595427,0.2876548038797713,20.219777997826597,True
Axel,Disasi,2,4.2,33,1,0,3,851,0.4,100.0,Axel Disasi,0.10575792066014941,0.0,7.857140986395002,True
Amadou,Onana,2,4.8,62,3,0,5,1551,2.1,100.0,Amadou Onana,0.17408122780959992,0.0,12.916663975695005,True
Marcus,Rashford,2,6.6,95,6,4,7,1414,4.0,0.0,Marcus Rashford,0.3818953080830427,0.2545968720553618,14.393937213039816,False
Lamare,Bogarde,2,3.9,6,0,0,0,473,0.2,,Lamare Bogarde,0.0,0.0,1.538461143984322,True
Sil,Swinkels,2,4.0,0,0,0,0,0,0.1,0.0,Sil Swinkels,0.0,0.0,0.0,False
Oliwier,Zych,2,4.0,0,0,0,0,0,0.5,,Oliwier Zych,0.0,0.0,0.0,True
